NAME,SCENARIO,CURRENT SCENARIO VERSION,SCENARIO VERSION PLAYED,SCORE (%),TIME SPENT,DATE,SCENARIO ATTEMPT #,Quest 2 PIN
Paeds Account 7,"Sam, Respiratory Distress and Wheeze A-E Assessment [SNP002UK]",V1.0.0.0,V1.0.0.0,53.86,14m 22s,08/01/2024 12:54,2,No
Paeds Account 3,"Sam, Respiratory Distress and Wheeze A-E Assessment [SNP002UK]",V1.0.0.0,V1.0.0.0,75.52,15m 9s,08/01/2024 12:56,4,No
Paeds Account 1,"Sam, Respiratory Distress and Wheeze A-E Assessment [SNP002UK]",V1.0.0.0,V1.0.0.0,70.49,15m 58s,08/01/2024 13:06,4,No
Paeds Account 5,"Sam, Respiratory Distress and Wheeze A-E Assessment [SNP002UK]",V1.0.0.0,V1.0.0.0,63.91,17m 47s,08/01/2024 13:20,3,No
Paeds Account 9,"Sam, Respiratory Distress and Wheeze A-E Assessment [SNP002UK]",V1.0.0.0,V1.0.0.0,75.39,19m 11s,08/01/2024 13:53,3,No
Paeds Account 222,"Sam, Respiratory Distress and Wheeze A-E Assessment [SNP002UK]",V1.0.0.0,V1.0.0.0,70.11,18m 53s,08/01/2024 13:53,2,No
Paeds Account 14,"Sam, Respiratory Distress and Wheeze A-E Assessment [SNP002UK]",V1.0.0.0,V1.0.0.0,68.47,18m 2s,08/01/2024 13:54,3,No
Paeds Account 21,"Sam, Respiratory Distress and Wheeze A-E Assessment [SNP002UK]",V1.0.0.0,V1.0.0.0,64.7,17m 9s,08/01/2024 15:22,1,No
Paeds Account 19,"Sam, Respiratory Distress and Wheeze A-E Assessment [SNP002UK]",V1.0.0.0,V1.0.0.0,78.39,19m 14s,08/01/2024 15:22,1,No
Paeds Account 17,"Sam, Respiratory Distress and Wheeze A-E Assessment [SNP002UK]",V1.0.0.0,V1.0.0.0,75.07,18m 47s,08/01/2024 15:22,2,No
Paeds Account 27,"Sam, Respiratory Distress and Wheeze A-E Assessment [SNP002UK]",V1.0.0.0,V1.0.0.0,72.9,17m 28s,08/01/2024 15:24,2,No
Paeds Account 25,"Sam, Respiratory Distress and Wheeze A-E Assessment [SNP002UK]",V1.0.0.0,V1.0.0.0,71.34,18m 32s,08/01/2024 15:24,3,No
Paeds Account 29,"Sam, Respiratory Distress and Wheeze A-E Assessment [SNP002UK]",V1.0.0.0,V1.0.0.0,67.1,17m 58s,08/01/2024 15:24,1,No
Paeds Account 4,"Sarah, Diabetic Ketoacidosis, A-E Assessment [SNP005UK]",V1.0.0.0,V1.0.0.0,55.62,12m 28s,08/01/2024 14:17,1,No
Paeds Account 2,"Sarah, Diabetic Ketoacidosis, A-E Assessment [SNP005UK]",V1.0.0.0,V1.0.0.0,46.36,14m 41s,08/01/2024 14:19,2,No
Paeds Account 8,"Sarah, Diabetic Ketoacidosis, A-E Assessment [SNP005UK]",V1.0.0.0,V1.0.0.0,55.53,13m 34s,08/01/2024 14:20,3,No
Paeds Account 6,"Sarah, Diabetic Ketoacidosis, A-E Assessment [SNP005UK]",V1.0.0.0,V1.0.0.0,49.93,13m 16s,08/01/2024 14:20,2,No
Paeds Account 16,"Sarah, Diabetic Ketoacidosis, A-E Assessment [SNP005UK]",V1.0.0.0,V1.0.0.0,50.95,13m 13s,08/01/2024 14:46,2,No
Paeds Account 22,"Sarah, Diabetic Ketoacidosis, A-E Assessment [SNP005UK]",V1.0.0.0,V1.0.0.0,51.99,15m 10s,08/01/2024 14:47,1,No
Paeds Account 11,"Sarah, Diabetic Ketoacidosis, A-E Assessment [SNP005UK]",V1.0.0.0,V1.0.0.0,64.98,13m 53s,08/01/2024 14:47,3,No
Paeds Account 13,"Sarah, Diabetic Ketoacidosis, A-E Assessment [SNP005UK]",V1.0.0.0,V1.0.0.0,54.58,14m 37s,08/01/2024 14:48,4,No
Paeds Account 23,"Sarah, Diabetic Ketoacidosis, A-E Assessment [SNP005UK]",V1.0.0.0,V1.0.0.0,62.49,15m 48s,08/01/2024 16:00,4,No
Paeds Account 20,"Sarah, Diabetic Ketoacidosis, A-E Assessment [SNP005UK]",V1.0.0.0,V1.0.0.0,60.12,17m 2s,08/01/2024 16:00,2,No
Paeds Account 18,"Sarah, Diabetic Ketoacidosis, A-E Assessment [SNP005UK]",V1.0.0.0,V1.0.0.0,59.86,18m 17s,08/01/2024 16:03,1,No
Paeds Account 222,"Sarah, Diabetic Ketoacidosis, A-E Assessment [SNP005UK]",V1.0.0.0,V1.0.0.0,47.55,19m 10s,08/01/2024 16:04,2,No
Paeds Account 26,"Sarah, Diabetic Ketoacidosis, A-E Assessment [SNP005UK]",V1.0.0.0,V1.0.0.0,54.15,19m 3s,08/01/2024 16:05,2,No
Paeds Account 28,"Sarah, Diabetic Ketoacidosis, A-E Assessment [SNP005UK]",V1.0.0.0,V1.0.0.0,67.93,19m 35s,08/01/2024 16:06,3,No
