NAME,SCENARIO,CURRENT SCENARIO VERSION,SCENARIO VERSION PLAYED,SCORE (%),TIME SPENT,DATE,SCENARIO ATTEMPT #,Quest 2 PIN
Paeds Account 25,"Katy, Seizure, A-E Assessment [SNP004UK]",V1.0.0.0,V1.0.0.0,72.98,20m 3s,18/10/2023 10:10,1,No
Paeds Account 22,"Katy, Seizure, A-E Assessment [SNP004UK]",V1.0.0.0,V1.0.0.0,62.64,19m 12s,18/10/2023 10:19,3,No
Paeds Account 15,"Katy, Seizure, A-E Assessment [SNP004UK]",V1.0.0.0,V1.0.0.0,37.66,20m 3s,18/10/2023 11:01,1,No
Paeds Account 21,"Katy, Seizure, A-E Assessment [SNP004UK]",V1.0.0.0,V1.0.0.0,71.19,15m 31s,18/10/2023 13:12,2,No
Paeds Account 5,"Katy, Seizure, A-E Assessment [SNP004UK]",V1.0.0.0,V1.0.0.0,50.55,9m 34s,18/10/2023 13:29,1,No
Paeds Account 24,"Katy, Seizure, A-E Assessment [SNP004UK]",V1.0.0.0,V1.0.0.0,70.19,20m 3s,18/10/2023 14:31,2,No
Paeds Account 27,"Sam, Pneumonia A-E Assessment [SNP011UK]",V1.0.0.0,V1.0.0.0,61.08,13m 30s,18/10/2023 10:40,2,No
Paeds Account 13,"Sam, Pneumonia A-E Assessment [SNP011UK]",V1.0.0.0,V1.0.0.0,57.82,18m 59s,18/10/2023 11:16,2,No
Paeds Account 11,"Sam, Pneumonia A-E Assessment [SNP011UK]",V1.0.0.0,V1.0.0.0,51.27,15m 33s,18/10/2023 11:56,2,No
Paeds Account 1,"Sam, Pneumonia A-E Assessment [SNP011UK]",V1.0.0.0,V1.0.0.0,73.86,13m 26s,18/10/2023 13:23,1,No
Paeds Account 7,"Sam, Pneumonia A-E Assessment [SNP011UK]",V1.0.0.0,V1.0.0.0,69.89,14m 59s,18/10/2023 15:15,1,No
Paeds Account 10,"Sam, Pneumonia A-E Assessment [SNP011UK]",V1.0.0.0,V1.0.0.0,56.8,10m 36s,18/10/2023 15:27,1,No
