NAME,SCENARIO,CURRENT SCENARIO VERSION,SCENARIO VERSION PLAYED,SCORE (%),TIME SPENT,DATE,SCENARIO ATTEMPT #,Quest 2 PIN
Paeds Account 18,"Sam, Respiratory Distress and Wheeze A-E Assessment [SNP002UK]",V1.0.0.0,V1.0.0.0,66.97,12m 43s,06/11/2023 13:01,3,No
Paeds Account 16,"Sam, Respiratory Distress and Wheeze A-E Assessment [SNP002UK]",V1.0.0.0,V1.0.0.0,70.78,16m 46s,06/11/2023 13:05,2,No
Paeds Account 12,"Sam, Respiratory Distress and Wheeze A-E Assessment [SNP002UK]",V1.0.0.0,V1.0.0.0,67.52,16m 0s,06/11/2023 13:06,2,No
Paeds Account 4,"Sam, Respiratory Distress and Wheeze A-E Assessment [SNP002UK]",V1.0.0.0,V1.0.0.0,66.36,11m 25s,06/11/2023 13:20,3,No
Paeds Account 14,"Sam, Respiratory Distress and Wheeze A-E Assessment [SNP002UK]",V1.0.0.0,V1.0.0.0,73.57,11m 44s,06/11/2023 13:49,2,No
Paeds Account 2,"Sam, Respiratory Distress and Wheeze A-E Assessment [SNP002UK]",V1.0.0.0,V1.0.0.0,68.7,16m 27s,06/11/2023 13:53,2,No
Paeds Account 25,"Sam, Respiratory Distress and Wheeze A-E Assessment [SNP002UK]",V1.0.0.0,V1.0.0.0,71.64,15m 48s,06/11/2023 13:54,2,No
Paeds Account 9,"Sam, Respiratory Distress and Wheeze A-E Assessment [SNP002UK]",V1.0.0.0,V1.0.0.0,76.24,19m 57s,06/11/2023 13:56,2,No
Paeds Account 1,"Sam, Respiratory Distress and Wheeze A-E Assessment [SNP002UK]",V1.0.0.0,V1.0.0.0,67.73,12m 29s,06/11/2023 15:21,3,No
Paeds Account 3,"Sam, Respiratory Distress and Wheeze A-E Assessment [SNP002UK]",V1.0.0.0,V1.0.0.0,61.11,13m 41s,06/11/2023 15:21,3,No
Paeds Account 5,"Sam, Respiratory Distress and Wheeze A-E Assessment [SNP002UK]",V1.0.0.0,V1.0.0.0,74.02,12m 14s,06/11/2023 15:21,2,No
Paeds Account 13,"Sam, Respiratory Distress and Wheeze A-E Assessment [SNP002UK]",V1.0.0.0,V1.0.0.0,57.24,12m 7s,06/11/2023 15:21,2,No
Paeds Account 20,"Sam, Respiratory Distress and Wheeze A-E Assessment [SNP002UK]",V1.0.0.0,V1.0.0.0,66.45,13m 36s,06/11/2023 15:22,2,No
Paeds Account 7,"Sam, Respiratory Distress and Wheeze A-E Assessment [SNP002UK]",V1.0.0.0,V1.0.0.0,66.53,14m 52s,06/11/2023 15:23,1,No
Paeds Account 17,"Sarah, Diabetic Ketoacidosis, A-E Assessment [SNP005UK]",V1.0.0.0,V1.0.0.0,50.95,10m 15s,06/11/2023 14:25,1,No
Paeds Account 28,"Sarah, Diabetic Ketoacidosis, A-E Assessment [SNP005UK]",V1.0.0.0,V1.0.0.0,61.21,12m 48s,06/11/2023 14:54,2,No
Paeds Account 21,"Sarah, Diabetic Ketoacidosis, A-E Assessment [SNP005UK]",V1.0.0.0,V1.0.0.0,77.13,17m 41s,06/11/2023 14:55,2,No
Paeds Account 26,"Sarah, Diabetic Ketoacidosis, A-E Assessment [SNP005UK]",V1.0.0.0,V1.0.0.0,72.53,13m 20s,06/11/2023 14:55,1,No
Paeds Account 9,"Sarah, Diabetic Ketoacidosis, A-E Assessment [SNP005UK]",V1.0.0.0,V1.0.0.0,50.18,19m 57s,06/11/2023 14:58,1,No
Paeds Account 11,"Sarah, Diabetic Ketoacidosis, A-E Assessment [SNP005UK]",V1.0.0.0,V1.0.0.0,41.66,13m 57s,06/11/2023 16:18,2,No
Paeds Account 23,"Sarah, Diabetic Ketoacidosis, A-E Assessment [SNP005UK]",V1.0.0.0,V1.0.0.0,58.38,14m 12s,06/11/2023 16:19,3,No
Paeds Account 24,"Sarah, Diabetic Ketoacidosis, A-E Assessment [SNP005UK]",V1.0.0.0,V1.0.0.0,52.9,16m 1s,06/11/2023 16:20,2,No
Paeds Account 6,"Sarah, Diabetic Ketoacidosis, A-E Assessment [SNP005UK]",V1.0.0.0,V1.0.0.0,55.12,15m 36s,06/11/2023 16:20,3,No
Paeds Account 27,"Sarah, Diabetic Ketoacidosis, A-E Assessment [SNP005UK]",V1.0.0.0,V1.0.0.0,71.84,13m 45s,06/11/2023 16:21,1,No
