NAME,SCENARIO,CURRENT SCENARIO VERSION,SCENARIO VERSION PLAYED,SCORE (%),TIME SPENT,DATE,SCENARIO ATTEMPT #,Quest 2 PIN
Paeds Account 1,"Katy, Seizure, A-E Assessment [SNP004UK]",V1.0.0.0,V1.0.0.0,70.35,17m 29s,14/02/2024 09:57,2,No
Paeds Account 3,"Katy, Seizure, A-E Assessment [SNP004UK]",V1.0.0.0,V1.0.0.0,53.07,18m 10s,14/02/2024 09:58,1,No
Paeds Account 9,"Katy, Seizure, A-E Assessment [SNP004UK]",V1.0.0.0,V1.0.0.0,69.62,20m 44s,14/02/2024 10:52,2,No
Paeds Account 17,"Katy, Seizure, A-E Assessment [SNP004UK]",V1.0.0.0,V1.0.0.0,64.24,17m 21s,14/02/2024 12:01,1,No
Paeds Account 12,"Katy, Seizure, A-E Assessment [SNP004UK]",V1.0.0.0,V1.0.0.0,47.51,20m 5s,14/02/2024 12:02,2,No
Paeds Account 16,"Katy, Seizure, A-E Assessment [SNP004UK]",V1.0.0.0,V1.0.0.0,70.21,19m 33s,14/02/2024 12:34,3,No
Paeds Account 19,"Katy, Seizure, A-E Assessment [SNP004UK]",V1.0.0.0,V1.0.0.0,75.68,19m 17s,14/02/2024 13:03,1,No
Paeds Account 22,"Katy, Seizure, A-E Assessment [SNP004UK]",V1.0.0.0,V1.0.0.0,64.23,12m 47s,14/02/2024 14:20,5,No
Paeds Account 7,"Katy, Seizure, A-E Assessment [SNP004UK]",V1.0.0.0,V1.0.0.0,58.96,16m 4s,14/02/2024 14:24,2,No
Paeds Account 27,"Katy, Seizure, A-E Assessment [SNP004UK]",V1.0.0.0,V1.0.0.0,65.95,18m 14s,14/02/2024 15:10,2,No
Paeds Account 29,"Katy, Seizure, A-E Assessment [SNP004UK]",V1.0.0.0,V1.0.0.0,63.82,20m 4s,14/02/2024 15:12,3,No
Paeds Account 25,"Katy, Seizure, A-E Assessment [SNP004UK]",V1.0.0.0,V1.0.0.0,54.58,15m 55s,14/02/2024 15:33,1,No
Paeds Account 2,"Sam, Pneumonia A-E Assessment [SNP011UK]",V1.0.0.0,V1.0.0.0,59.91,10m 54s,14/02/2024 10:17,2,No
Paeds Account 4,"Sam, Pneumonia A-E Assessment [SNP011UK]",V1.0.0.0,V1.0.0.0,65.31,13m 34s,14/02/2024 10:49,3,No
Paeds Account 8,"Sam, Pneumonia A-E Assessment [SNP011UK]",V1.0.0.0,V1.0.0.0,60.72,11m 25s,14/02/2024 11:12,3,No
Paeds Account 21,"Sam, Pneumonia A-E Assessment [SNP011UK]",V1.0.0.0,V1.0.0.0,61.66,19m 52s,14/02/2024 11:23,1,No
Paeds Account 6,"Sam, Pneumonia A-E Assessment [SNP011UK]",V1.0.0.0,V1.0.0.0,57.63,11m 37s,14/02/2024 11:33,3,No
Paeds Account 11,"Sam, Pneumonia A-E Assessment [SNP011UK]",V1.0.0.0,V1.0.0.0,55.1,15m 34s,14/02/2024 12:33,4,No
Paeds Account 13,"Sam, Pneumonia A-E Assessment [SNP011UK]",V1.0.0.0,V1.0.0.0,72.55,19m 50s,14/02/2024 13:08,3,No
Paeds Account 18,"Sam, Pneumonia A-E Assessment [SNP011UK]",V1.0.0.0,V1.0.0.0,60.45,13m 10s,14/02/2024 13:33,1,No
Paeds Account 20,"Sam, Pneumonia A-E Assessment [SNP011UK]",V1.0.0.0,V1.0.0.0,62.81,17m 43s,14/02/2024 13:38,2,Yes
Paeds Account 24,"Sam, Pneumonia A-E Assessment [SNP011UK]",V1.0.0.0,V1.0.0.0,68.18,19m 27s,14/02/2024 15:02,2,No
Paeds Account 28,"Sam, Pneumonia A-E Assessment [SNP011UK]",V1.0.0.0,V1.0.0.0,63.99,15m 29s,14/02/2024 15:37,2,No
Paeds Account 23,"Sam, Pneumonia A-E Assessment [SNP011UK]",V1.0.0.0,V1.0.0.0,59.33,18m 58s,14/02/2024 15:52,3,No
Paeds Account 26,"Sam, Pneumonia A-E Assessment [SNP011UK]",V1.0.0.0,V1.0.0.0,53.13,9m 32s,14/02/2024 15:54,2,No
