SESSION START,NAME,SCENARIO,CURRENT SCENARIO VERSION,SCENARIO VERSION PLAYED,SESSION ID#,ACTION TIMESTAMP (SECS AFTER START),ACTION TITLE
06/11/2023 12:48,Paeds Account 18,"Sam, Respiratory Distress and Wheeze A-E Assessment [SNP002UK]",V1.0.0.0,V1.0.0.0,339385,0,start scenario
06/11/2023 12:49,Paeds Account 18,"Sam, Respiratory Distress and Wheeze A-E Assessment [SNP002UK]",V1.0.0.0,V1.0.0.0,339385,45,introduce yourself
06/11/2023 12:49,Paeds Account 18,"Sam, Respiratory Distress and Wheeze A-E Assessment [SNP002UK]",V1.0.0.0,V1.0.0.0,339385,57,introduce yourself
06/11/2023 12:49,Paeds Account 18,"Sam, Respiratory Distress and Wheeze A-E Assessment [SNP002UK]",V1.0.0.0,V1.0.0.0,339385,73,wash hands and apply ppe
06/11/2023 12:50,Paeds Account 18,"Sam, Respiratory Distress and Wheeze A-E Assessment [SNP002UK]",V1.0.0.0,V1.0.0.0,339385,86,check weight & height
06/11/2023 12:50,Paeds Account 18,"Sam, Respiratory Distress and Wheeze A-E Assessment [SNP002UK]",V1.0.0.0,V1.0.0.0,339385,92,presenting complaint
06/11/2023 12:50,Paeds Account 18,"Sam, Respiratory Distress and Wheeze A-E Assessment [SNP002UK]",V1.0.0.0,V1.0.0.0,339385,108,past medical history
06/11/2023 12:51,Paeds Account 18,"Sam, Respiratory Distress and Wheeze A-E Assessment [SNP002UK]",V1.0.0.0,V1.0.0.0,339385,148,measure oxygen saturations & heart rate
06/11/2023 12:51,Paeds Account 18,"Sam, Respiratory Distress and Wheeze A-E Assessment [SNP002UK]",V1.0.0.0,V1.0.0.0,339385,151,measure blood pressure
06/11/2023 12:51,Paeds Account 18,"Sam, Respiratory Distress and Wheeze A-E Assessment [SNP002UK]",V1.0.0.0,V1.0.0.0,339385,182,non-rebreather mask (15 l/min)
06/11/2023 12:51,Paeds Account 18,"Sam, Respiratory Distress and Wheeze A-E Assessment [SNP002UK]",V1.0.0.0,V1.0.0.0,339385,193,provide reassurance
06/11/2023 12:52,Paeds Account 18,"Sam, Respiratory Distress and Wheeze A-E Assessment [SNP002UK]",V1.0.0.0,V1.0.0.0,339385,199,do you have any questions?
06/11/2023 12:52,Paeds Account 18,"Sam, Respiratory Distress and Wheeze A-E Assessment [SNP002UK]",V1.0.0.0,V1.0.0.0,339385,209,respiratory
06/11/2023 12:52,Paeds Account 18,"Sam, Respiratory Distress and Wheeze A-E Assessment [SNP002UK]",V1.0.0.0,V1.0.0.0,339385,218,observe respiratory rate and signs of respiratory distress
06/11/2023 12:52,Paeds Account 18,"Sam, Respiratory Distress and Wheeze A-E Assessment [SNP002UK]",V1.0.0.0,V1.0.0.0,339385,253,auscultate lungs
06/11/2023 12:53,Paeds Account 18,"Sam, Respiratory Distress and Wheeze A-E Assessment [SNP002UK]",V1.0.0.0,V1.0.0.0,339385,289,check temperature (tympanic)
06/11/2023 12:53,Paeds Account 18,"Sam, Respiratory Distress and Wheeze A-E Assessment [SNP002UK]",V1.0.0.0,V1.0.0.0,339385,313,ask consent to examine sam
06/11/2023 12:54,Paeds Account 18,"Sam, Respiratory Distress and Wheeze A-E Assessment [SNP002UK]",V1.0.0.0,V1.0.0.0,339385,320,provide reassurance
06/11/2023 12:54,Paeds Account 18,"Sam, Respiratory Distress and Wheeze A-E Assessment [SNP002UK]",V1.0.0.0,V1.0.0.0,339385,334,check capillary blood glucose
06/11/2023 12:55,Paeds Account 18,"Sam, Respiratory Distress and Wheeze A-E Assessment [SNP002UK]",V1.0.0.0,V1.0.0.0,339385,414,capillary blood gas
06/11/2023 12:56,Paeds Account 18,"Sam, Respiratory Distress and Wheeze A-E Assessment [SNP002UK]",V1.0.0.0,V1.0.0.0,339385,481,normal
06/11/2023 12:56,Paeds Account 18,"Sam, Respiratory Distress and Wheeze A-E Assessment [SNP002UK]",V1.0.0.0,V1.0.0.0,339385,481,> 30 breaths per min
06/11/2023 12:56,Paeds Account 18,"Sam, Respiratory Distress and Wheeze A-E Assessment [SNP002UK]",V1.0.0.0,V1.0.0.0,339385,481,severe / moderate
06/11/2023 12:56,Paeds Account 18,"Sam, Respiratory Distress and Wheeze A-E Assessment [SNP002UK]",V1.0.0.0,V1.0.0.0,339385,481,sp o2 <95% in air and/or receiving oxygen
06/11/2023 12:56,Paeds Account 18,"Sam, Respiratory Distress and Wheeze A-E Assessment [SNP002UK]",V1.0.0.0,V1.0.0.0,339385,481,> 120 bpm
06/11/2023 12:56,Paeds Account 18,"Sam, Respiratory Distress and Wheeze A-E Assessment [SNP002UK]",V1.0.0.0,V1.0.0.0,339385,481,yes
06/11/2023 12:56,Paeds Account 18,"Sam, Respiratory Distress and Wheeze A-E Assessment [SNP002UK]",V1.0.0.0,V1.0.0.0,339385,490,cbg result #1
06/11/2023 12:57,Paeds Account 18,"Sam, Respiratory Distress and Wheeze A-E Assessment [SNP002UK]",V1.0.0.0,V1.0.0.0,339385,518,insert iv access and take bloods
06/11/2023 12:58,Paeds Account 18,"Sam, Respiratory Distress and Wheeze A-E Assessment [SNP002UK]",V1.0.0.0,V1.0.0.0,339385,576,situation option 1
06/11/2023 12:58,Paeds Account 18,"Sam, Respiratory Distress and Wheeze A-E Assessment [SNP002UK]",V1.0.0.0,V1.0.0.0,339385,576,situation option 2
06/11/2023 12:58,Paeds Account 18,"Sam, Respiratory Distress and Wheeze A-E Assessment [SNP002UK]",V1.0.0.0,V1.0.0.0,339385,576,situation option 4
06/11/2023 12:58,Paeds Account 18,"Sam, Respiratory Distress and Wheeze A-E Assessment [SNP002UK]",V1.0.0.0,V1.0.0.0,339385,576,background option 1
06/11/2023 12:58,Paeds Account 18,"Sam, Respiratory Distress and Wheeze A-E Assessment [SNP002UK]",V1.0.0.0,V1.0.0.0,339385,576,background option 2
06/11/2023 12:58,Paeds Account 18,"Sam, Respiratory Distress and Wheeze A-E Assessment [SNP002UK]",V1.0.0.0,V1.0.0.0,339385,576,background option 4
06/11/2023 12:58,Paeds Account 18,"Sam, Respiratory Distress and Wheeze A-E Assessment [SNP002UK]",V1.0.0.0,V1.0.0.0,339385,576,assessment option 2
06/11/2023 12:58,Paeds Account 18,"Sam, Respiratory Distress and Wheeze A-E Assessment [SNP002UK]",V1.0.0.0,V1.0.0.0,339385,576,assessment option 3
06/11/2023 12:58,Paeds Account 18,"Sam, Respiratory Distress and Wheeze A-E Assessment [SNP002UK]",V1.0.0.0,V1.0.0.0,339385,576,assessment option 4
06/11/2023 12:58,Paeds Account 18,"Sam, Respiratory Distress and Wheeze A-E Assessment [SNP002UK]",V1.0.0.0,V1.0.0.0,339385,576,assessment option 5
06/11/2023 12:58,Paeds Account 18,"Sam, Respiratory Distress and Wheeze A-E Assessment [SNP002UK]",V1.0.0.0,V1.0.0.0,339385,576,recommendation option 4
06/11/2023 12:59,Paeds Account 18,"Sam, Respiratory Distress and Wheeze A-E Assessment [SNP002UK]",V1.0.0.0,V1.0.0.0,339385,622,medication list
06/11/2023 12:59,Paeds Account 18,"Sam, Respiratory Distress and Wheeze A-E Assessment [SNP002UK]",V1.0.0.0,V1.0.0.0,339385,631,e-prescription chart
06/11/2023 12:59,Paeds Account 18,"Sam, Respiratory Distress and Wheeze A-E Assessment [SNP002UK]",V1.0.0.0,V1.0.0.0,339385,641,through air
06/11/2023 13:00,Paeds Account 18,"Sam, Respiratory Distress and Wheeze A-E Assessment [SNP002UK]",V1.0.0.0,V1.0.0.0,339385,686,observe airway and talk to patient
06/11/2023 13:00,Paeds Account 18,"Sam, Respiratory Distress and Wheeze A-E Assessment [SNP002UK]",V1.0.0.0,V1.0.0.0,339385,701,respiratory
06/11/2023 13:00,Paeds Account 18,"Sam, Respiratory Distress and Wheeze A-E Assessment [SNP002UK]",V1.0.0.0,V1.0.0.0,339385,706,repeat blood pressure
06/11/2023 13:00,Paeds Account 18,"Sam, Respiratory Distress and Wheeze A-E Assessment [SNP002UK]",V1.0.0.0,V1.0.0.0,339385,708,repeat blood pressure
06/11/2023 13:00,Paeds Account 18,"Sam, Respiratory Distress and Wheeze A-E Assessment [SNP002UK]",V1.0.0.0,V1.0.0.0,339385,725,update carer
06/11/2023 13:00,Paeds Account 18,"Sam, Respiratory Distress and Wheeze A-E Assessment [SNP002UK]",V1.0.0.0,V1.0.0.0,339385,736,observe respiratory rate and signs of respiratory distress
06/11/2023 12:48,Paeds Account 16,"Sam, Respiratory Distress and Wheeze A-E Assessment [SNP002UK]",V1.0.0.0,V1.0.0.0,339387,0,start scenario
